NIM,Nilai
220101001,83.8
220101002,56.1
220101003,67.4
220101004,65.0
220101005,88.1
220101006,85.5
220101007,95.1
220101008,58.9
220101009,74.0
220101010,56.3
220101011,64.8
220101012,77.7
220101013,56.2
220101014,63.9
220101015,84.2
220101016,79.5
220101017,64.9
220101018,81.5
220101019,91.4
220101020,55.3
220101021,91.3
220101022,86.4
220101023,70.3
220101024,62.0
220101025,98.1
220101026,70.1
220101027,59.2
220101028,59.4
220101029,93.1
220101030,82.2
220101031,91.3
220101032,87.8
220101033,79.1
220101034,98.8
220101035,72.0
220101036,79.8
220101037,92.3
220101038,82.8
220101039,93.8
220101040,81.0
220101041,86.7
220101042,57.1
220101043,65.3
220101044,68.0
220101045,58.6
220101046,65.5
220101047,59.5
220101048,67.5
220101049,83.6
220101050,71.4
220101051,71.7
220101052,64.4
220101053,67.0
220101054,97.1
220101055,84.2
220101056,82.4
220101057,62.7
220101058,87.8
220101059,62.4
220101060,72.1
220101061,99.5
220101062,83.8
220101063,80.1
220101064,85.8
220101065,92.9
220101066,89.9
220101067,65.3
220101068,56.4
220101069,69.2
220101070,67.0
220101071,64.5
220101072,97.4
220101073,94.4
220101074,69.2
220101075,84.5
220101076,72.8
220101077,96.2
220101078,75.6
220101079,66.9
220101080,66.1
220101081,80.3
220101082,66.8
220101083,81.3
220101084,95.4
220101085,73.0
220101086,64.9
220101087,99.9
220101088,77.9
220101089,59.1
220101090,57.1
220101091,59.9
220101092,83.2
220101093,90.6
220101094,74.0
220101095,57.9
220101096,72.2
220101097,99.8
220101098,78.8
220101099,98.7
220101100,93.7
